UID,Combined Key,Study Identifier,Is Target Cell,Is Naturally Occuring,Object Index,Size,Area,Length,Width,Perimeter,Circularity,"Mean[Stitched[Tsf[:DAPI 377,447]]]","Mean[Stitched[Tsf[:GFP 469,525]]]","Mean[Stitched[Tsf[:CY5 628,685]]]","Peak[Stitched[Tsf[:DAPI 377,447]]]","Peak_2[Stitched[Tsf[:GFP 469,525]]]","Peak_2[Stitched[Tsf[:CY5 628,685]]]","Integral[Stitched[Tsf[:DAPI 377,447]]]","Integral_2[Stitched[Tsf[:GFP 469,525]]]","Integral_2[Stitched[Tsf[:CY5 628,685]]]","Mask Size_2[Stitched[Tsf[:GFP 469,525]]]","Mask Size_2[Stitched[Tsf[:CY5 628,685]]]","Mean_2[Stitched[Tsf[:GFP 469,525]]]","Mean_2[Stitched[Tsf[:CY5 628,685]]]",Mean[Stitched[Tsf[:Bright Field]]],Integral[Stitched[Tsf[:Bright Field]]],X Center Microns,Y Center Microns,ratio,"Peak[Stitched[Tsf[:GFP 469,525]]]","Peak[Stitched[Tsf[:CY5 628,685]]]",X Center Pixels,Y Center Pixels
64089,1A11106191204170421,191204_170421,1,0,1106,11.9,111,12,11.9,36.5,0.982,40557,14579,2353,63794,19440,0,1662822,2144023,0,28.3,0,9658,0,33303,1365408,14306.9,3332.4,6.2,19440,5214,8682.025583,2022.257507
64090,1A11107191204170421,191204_170421,1,0,1107,13.7,147,14.6,12.8,42.1,0.761,38796,14237,4065,63536,36451,10047,2095010,1571148,110388,23.4,7.2,10007,7359,32377,1748368,20236.7,3333,3.5,36451,10047,12280.47635,2022.621616
64091,1A11108191204170421,191204_170421,1,0,1108,23.2,386,30,16.4,79.7,0.299,32618,10466,5637,63258,20401,24347,4631685,2424962,664230,28.9,20.4,10275,7635,16714,2373424,22544.3,3343.2,1.86,20401,24347,13680.82459,2028.811457
64092,1A11109191204170421,191204_170421,1,0,1109,6.5,32.6,6.9,6,19.6,0.759,11445,2193,8925,14417,0,20070,137343,0,1405499,0,23.5,0,8840,22152,265824,6517.8,3332.5,0.246,3024,11929,3955.273773,2022.318192
64093,1A11110191204170421,191204_170421,1,0,1110,11.1,95,12.6,9.6,34.6,0.585,34684,6811,1720,63696,11831,0,1213947,1381785,0,26.3,0,6944,0,35993,1259744,15965.5,3340.9,3.96,10721,3058,9688.533466,2027.415708
64094,1A11111191204170421,191204_170421,1,0,1111,22.5,391,25,19.9,79.6,0.63,42930,10302,2532,63660,19540,7854,6181954,3901837,90055,38.8,6.9,9116,6927,36671,5280576,4145.5,3348.2,4.07,19540,7854,2515.662866,2031.845693
64095,1A11112191204170421,191204_170421,1,0,1112,19.5,296,21.2,17.8,63.7,0.702,17044,57773,2515,25237,57820,0,1857765,13276197,0,37.7,0,32381,0,41049,4474288,2112.8,3354.5,23,57820,3988,1282.135449,2035.66883
64096,1A11113191204170421,191204_170421,1,0,1113,23.3,421,25.9,20.7,76.3,0.643,44504,11100,2946,63465,20880,9193,6898162,4466822,191370,40.2,10.6,9753,6599,36446,5649168,21536.6,3361.4,3.77,20880,9193,13069.31006,2039.856075
64097,1A11114191204170421,191204_170421,1,0,1114,26.1,530,28.4,23.7,88.5,0.695,42873,7960,2996,63488,15287,10295,8360264,3910792,286235,40.1,12.2,8595,6981,36111,7041648,16281.9,3362.7,2.66,15287,10295,9880.538225,2040.644977
64098,1A11115191204170421,191204_170421,1,0,1115,9.2,65.2,10.1,8.2,27.6,0.658,23634,22857,856,57148,58371,0,567209,1577920,0,24.1,0,9680,0,24823,595744,18259,3354.8,26.7,58371,2040,11080.32524,2035.850884
64099,1A11116191204170421,191204_170421,1,0,1116,10.8,89.6,12,9.5,33.2,0.635,36345,5953,2674,63590,13779,0,1199387,1869973,0,27.4,0,8738,0,33640,1110112,18576.4,3356,2.23,11362,5111,11272.93684,2036.5791
64100,1A11117191204170421,191204_170421,1,0,1117,11.5,81.5,16.7,6.2,45.4,0.138,14881,9309,4339,23058,18191,7382,446426,1936314,33212,26.9,4.3,9265,6642,9999,299984,22841.8,3356.7,2.15,14736,7382,13861.36004,2037.003893
64101,1A11118191204170421,191204_170421,1,0,1118,27.1,391,42.6,11.7,102.8,0.0755,39021,14836,6681,63315,31194,18898,5618952,3706667,825528,38.1,24.6,10682,9276,22273,3207264,22541.8,3374.9,2.22,31194,18898,13679.30749,2048.048512
